label count
1168231106915 19989
1477468752171 13563
1546188228891 5635
652835031275 5020
1168231104853 4812
515396076975 4775
1408749275451 4529
1331439864225 4274
489626271890 4227
1400159340853 4128
755914246339 3751
180388627803 3405
1073741826185 2668
206158430901 2617
1623497638911 2568
1116691497592 2510
687194769619 2486
60129544317 2444
489626272503 2235
1297080125789 2208
360777254951 2121
1503238555949 1988
678604833762 1890
996432414875 1863
472446404637 1725
506806142981 1688
841813590212 1670
867583396025 1624
566935684613 1624
1529008357912 1608
884763263943 1583
1348619733321 1548
317827580726 1543
137438955914 1519
1116691499383 1496
120259085622 1480
1176821039726 1479
635655162087 1471
326417516607 1469
1228360647266 1415
240518169412 1414
163208757923 1413
25769806565 1409
1640677509389 1319
1460288881617 1313
1202590843954 1305
1047972022407 1296
240518169277 1296
1537598291976 1248
120259084953 1214
515396076292 1205
1228360647986 1190
721554507995 1177
446676600859 1169
357 1159
463856468752 1105
901943132759 1095
77309413473 1076
1709396986365 1058
910533068967 1045
1314259993527 1043
68719478883 1035
833223657557 1020
652835029988 1002
661424964582 997
1151051237759 986
420906795047 969
128849018971 965
645 936
1529008359703 881
841813592836 880
463856470047 870
292057776953 862
489626272526 858
154618823512 857
901943133102 848
1194000908906 827
1236950582282 820
1606317769715 818
403726928073 816
429496730517 815
979252545687 810
197568498390 804
1314259993166 804
249108103871 800
1168231106060 794
309237647583 759
274877909043 739
1340029797309 723
704374638230 704
335007450694 696
111669151849 682
343597384405 681
283467841673 671
627065226680 668
1709396984996 666
1271310320212 655
1039382086263 651
936302872048 639
816043786811 625
609885358333 617
120259085710 605
1159641170546 605
944892807496 597
1262720385955 591
335007449906 587
781684049308 586
249108104412 583
1288490191199 573
1417339208467 569
1460288880800 567
1692217116156 560
1099511629702 556
68719477397 555
566935684088 553
1065151890308 540
987842478310 540
94489281739 539
283467841740 526
884763264339 525
377957124139 514
1632087574799 513
644245096444 512
1168231107325 511
1005022348599 509
541165880449 508
970662611061 501
128849019547 498
850403524739 497
627065225431 494
1529008359515 490
1228360648492 488
1228360647516 485
1005022347439 479
266287974249 477
841813590593 475
472446403770 471
197568497978 469
17179869336 466
670014900463 464
1606317769820 463
283467842939 462
77309413611 461
781684050117 457
403726927917 454
1314259995045 454
816043788493 450
876173329894 447
1142461301366 446
163208759381 446
1357209665913 437
214748365495 431
970662609511 431
343597384896 431
1236950582273 430
1357209665857 428
163208759473 425
1408749273697 421
1382979471829 418
1494648619993 417
1340029798731 413
300647711814 413
807453852217 413
1297080124821 413
446676600410 411
103079215972 411
627065227889 411
1511828489189 411
996432413588 409
876173330867 398
506806141339 398
833223657927 396
1425929144639 385
34359739682 385
240518171006 380
1176821040184 380
1090921695533 377
51539609727 375
1065151891375 368
1614907704409 368
137438955603 366
309237647049 364
1546188227092 363
343597384492 363
1185410976241 361
1279900256021 359
1400159339066 358
335007450178 358
1254130453026 358
8589935486 356
1073741825116 355
206158431878 354
901943134369 353
309237647833 352
523986010886 351
1666447313481 351
1468878817573 349
1382979470670 349
970662610930 347
790273984715 338
790273983037 334
1391569406419 331
841813591534 330
1589137901376 329
1683627182661 327
1288490190124 325
17179871557 324
1288490190404 324
1211180778086 322
1056561955920 322
1211180779304 319
229 315
738734376357 315
1168231105741 309
661424965865 308
103079215773 307
1151051236217 303
1477468751507 300
8589936753 298
1632087575162 297
231928234826 296
154618823620 295
1511828489443 295
635655160303 295
85899348071 294
532575946792 290
1219770713716 290
1640677507586 289
146028888167 289
1529008358369 289
317827581109 287
1511828489290 285
1468878817656 285
515396077807 283
94489281735 282
300647710823 280
335007449099 277
1563368096041 277
704374637966 276
1554778162805 271
816043787442 271
962072674378 269
1013612282521 266
1692217116427 265
962072675645 264
1013612282473 264
1185410975637 264
1520418423783 264
85899347262 257
953482741236 254
764504180352 254
111669151095 253
549755814405 252
584115552461 251
601295422892 251
1322849927537 251
438086665959 250
523986012397 248
558345749016 246
369367188179 246
515396075581 245
1520418422983 241
850403526888 241
1047972020592 239
1340029797762 239
1073741824902 239
352187320892 238
987842479461 236
1185410975000 236
996432414313 234
1382979471025 233
687194767645 233
1331439862346 233
833223655833 232
1434519078425 231
867583395403 229
1683627180917 229
1400159339140 229
377957123690 229
335007450333 229
335007449803 228
1494648619277 227
1546188228976 225
352187318999 224
1116691499522 224
644245094931 223
566935683585 223
678604835053 221
979252544097 220
1108101563790 220
1623497639752 218
652835029265 217
1219770712672 216
426 215
532575947040 215
1408749274899 215
721554506544 214
962072676050 214
592705488619 213
807453853519 213
1331439863184 213
1219770713815 212
266287974477 212
429496731891 212
773094114096 211
120259085205 211
128849021496 211
463856469318 210
146028888794 209
936302871462 209
94489282661 209
738734377183 209
438086665567 208
455266535147 208
274877909117 208
463856468876 208
1374389537149 207
635655161278 207
300647712821 205
25769805275 205
876173329265 203
1382979469787 202
1666447313399 202
1228360647961 200
987842478801 200
438086666784 200
429496732144 198
1219770713125 197
34359740391 197
111669151011 196
695784704662 195
841813591549 195
42949675129 195
1013612282821 194
953482741933 192
841813592298 192
472446404077 192
455266533461 191
1151051236216 191
455266534845 190
1279900255077 190
670014899741 190
1666447312877 190
446676600135 189
1357209667752 189
1365799601932 188
738734377353 188
455266535449 187
549755815052 187
171798692692 186
1254130451752 186
1013612282244 185
360777253585 184
523986010234 184
601295423515 184
601295423743 184
790273984329 183
1537598292963 183
1099511629628 183
1529008358436 183
704374637089 182
876173330623 182
463856468879 182
1322849929635 181
824633721522 181
1675037246636 180
292057776689 180
558345749947 180
764504179611 180
1305670060405 179
429496730392 179
1468878816228 178
764504180773 178
1228360649008 178
1340029797526 177
146028889266 177
1185410976131 176
1116691498030 175
111669150976 174
1666447313322 174
17179869997 174
1537598292506 173
1666447311297 173
1357209666069 172
1254130450957 171
558345748679 170
1425929143241 170
1030792153637 170
816043788163 170
1185410974312 170
171798692525 169
51539608746 168
506806142753 168
1546188227565 168
627065226788 167
1434519078035 167
652835030164 167
798863919278 167
790273984482 166
1580547965941 166
876173330776 166
1279900256295 166
1357209668348 166
377957123801 165
1503238554962 165
25769805288 164
1374389535346 164
1348619732199 164
901943134534 164
420906796274 163
962072675051 163
25769803843 163
1511828490761 163
472446404500 162
300647711427 161
1168231105018 161
1425929144190 161
446676600528 160
1640677508304 160
1529008359923 158
137438955767 158
266287972878 158
738734375465 158
146028890550 157
1099511629618 157
1640677508705 156
558345749855 156
1400159339328 155
1374389534981 154
163208758693 154
309237645357 153
1108101563914 152
326417516237 151
566935685075 151
472446404672 150
1666447312809 150
326417515030 150
1185410975268 149
506806142185 149
1649267442437 149
944892807676 149
1494648621658 149
489626274078 148
1434519078863 148
592705488215 148
575525619957 148
240518170442 148
953482742000 146
120259086447 145
223338301635 145
481036338522 145
1030792152689 144
1606317771013 144
1013612284098 144
1503238556381 144
1005022349437 144
764504181069 144
85899348248 143
163208758655 143
781684049078 142
317827580695 142
773094115616 142
231928234675 142
1589137901026 141
1709396985015 139
858993460783 139
609885358510 139
1460288883066 138
274877907772 136
1391569404161 136
120259086475 136
137438953674 136
214748365646 136
292057776634 135
300647712761 135
592705488925 135
1700807051406 135
644245094611 135
1666447312882 134
1254130451281 134
34359741059 133
790273984014 133
300647711599 133
240518170699 133
1108101563451 133
274877909406 132
1700807051547 131
1529008359981 131
781684049985 131
1245540516789 131
876173330966 130
197568495957 130
1460288882534 130
103079216626 129
1391569404926 129
910533067890 129
360777254579 129
1271310320557 129
798863919305 128
781684048462 128
1468878817474 128
661424964087 128
1236950581605 127
936302871911 127
249108103759 127
1477468752071 127
1245540518225 127
146028888743 126
1305670058357 125
1400159340904 125
730144441719 125
695784703026 125
1228360649069 125
841813592247 125
1529008358493 125
446676599827 124
695784702503 124
1520418423899 123
2612 123
1468878817079 123
438086665322 123
240518169380 123
532575944761 123
1039382086788 123
1443109012392 123
944892807243 123
292057777779 122
1468878817000 122
463856468627 122
17179871616 122
257698039887 122
1271310322111 122
884763263115 122
833223656800 122
1554778163709 122
1108101564287 121
1039382086387 121
1099511630195 120
266287973821 120
1073741826242 120
1657857377554 120
395136993377 120
231928234172 120
644245096706 120
1047972021213 119
910533068286 119
953482740642 119
1013612284027 119
532575945465 119
1709396984562 118
1099511628677 118
1202590843805 118
412316862166 117
1537598292259 117
1340029796440 117
309237646609 117
231928235445 116
463856468713 116
592705488536 115
652835029600 115
575525619431 115
833223656007 114
377957122852 114
1065151891252 114
1254130451463 113
1056561956213 113
747324310571 113
412316862615 113
1030792153219 113
412316862784 113
790273983803 113
541165879851 113
549755815602 112
1623497639665 112
1005022348823 112
1271310320151 112
798863919868 112
266287974569 111
712964571683 111
1408749275346 111
549755814669 111
1185410974033 111
498216207476 111
94489281976 110
1675037246884 110
747324311283 110
1279900255667 110
1400159340404 110
1030792153191 110
85899346001 109
57 109
695784702701 109
1520418425105 109
1211180777508 109
807453853860 108
1451698947281 108
171798692609 108
1030792151948 108
231928236162 108
687194769495 107
1047972022149 107
1039382086237 107
163208757531 107
1563368097007 107
919123003779 107
395136991776 107
1537598294390 107
1434519077479 107
592705487055 107
60129542986 107
712964572711 106
1022202218617 106
523986011591 106
77309411667 106
326417516158 105
1065151891178 105
1589137900535 105
927712937289 105
1709396986272 105
738734376341 105
1125281431634 104
936302872076 104
223338301227 103
309237645760 103
919123002586 103
188978561328 103
704374636590 103
146028888526 102
1554778163613 102
953482739867 102
163208757263 102
1168231106951 102
1297080123633 102
77309413573 102
481036338209 102
481036339294 101
541165879355 101
1357209667483 101
1374389536064 101
489626272935 101
910533067345 100
94489281995 100
1391569405252 100
1228360648966 100
1090921694462 100
188978561190 100
1108101564566 99
1563368096838 99
1614907704879 99
481036338983 99
1657857378895 98
515396077579 98
326417514772 98
592705489145 97
1511828490198 97
1649267443471 97
841813591798 97
17179871632 97
523986011361 97
1219770712985 97
566935684526 96
927712937317 96
919123001558 96
584115553412 96
1451698948692 96
1520418425226 96
197568496391 95
901943133688 95
1065151891567 95
670014898935 95
876173329813 94
1108101563794 94
1211180777823 94
1709396983852 94
1236950583735 94
627065226667 94
884763265080 94
146028889951 93
592705487115 93
566935685840 93
180388626945 92
892 92
1108101563732 92
953482741833 92
51539607819 92
377957123426 92
807453851745 91
858993460261 91
1022202217710 91
1348619731903 91
1382979471216 91
257698037886 91
197568498000 91
77309413189 91
1116691498771 91
730144442178 91
584115553589 90
163208757579 90
979252546137 90
1142461301647 90
764504180275 90
712964572575 89
1125281432639 89
1400159339459 89
1365799602203 89
1168231105980 89
1709396986546 89
1176821041541 88
1279900254575 88
1005022349031 88
1597727835147 88
1571958031930 88
1468878816380 88
687194769792 87
558345750206 87
455266534720 87
1211180778351 87
506806142609 87
755914244392 87
1030792153586 87
1297080124449 87
901943134137 86
231928236450 86
1340029796881 86
1468878816752 86
1194000908895 86
858993460424 86
1159641171729 86
1554778162240 86
1202590843441 86
498216208132 85
738734375393 85
704374637528 85
1108101563521 85
1537598293777 85
1486058684966 85
1589137899654 85
1391569404193 85
1365799602056 84
489626273199 84
377957123442 84
1537598294344 84
51539610378 84
85899347233 84
214748366890 84
1374389537134 84
481036338254 84
790273983845 83
163208758951 83
8589936259 83
257698040576 83
1529008358461 83
566935684098 83
901943133179 82
1340029797045 82
1391569404865 82
1692217115119 82
231928234140 82
34359740880 82
463856469598 82
1288490189845 82
1133871368220 82
257698038592 82
472446403908 81
979252545786 81
1047972020849 81
584115553326 81
1571958032723 81
1546188228310 81
678604833719 81
146028890593 80
704374636573 80
274877908946 80
661424965077 80
292057777533 80
1236950582181 80
652835031442 80
274877908379 80
51539608917 80
970662609558 80
1322849927753 80
120259084377 80
1357209667038 80
17179871136 79
1649267442781 79
506806143027 79
979252543617 79
34359739861 79
25769805447 78
1614907703505 78
773094114488 78
893353200445 78
695784704053 78
1005022347935 78
77309412815 78
180388626942 78
1065151890881 78
644245095742 78
1211180778399 78
1288490189737 78
558345750549 77
1133871367217 77
601295422946 77
506806141243 77
876173329433 77
1151051236619 77
919123001939 77
292057778690 76
1675037246211 76
807453853326 76
506806141203 76
463856468789 76
592705487780 76
463856470203 76
386547057923 76
360777252881 76
128849019922 76
781684049566 76
1477468752076 76
292057776907 76
1297080124827 76
816043788406 76
867583395095 76
2168 75
910533067519 75
481036337613 75
438086665778 75
25769806262 75
1348619733300 75
1606317769226 75
1365799601341 75
77309413011 75
884763263858 75
1391569405938 74
146028888573 74
635655160599 74
644245096100 74
833223658027 74
1357209666489 74
1133871366772 74
1236950582106 74
412316862044 74
1348619733342 73
1194000909203 73
1245540515851 73
1005022348912 73
455266535754 73
618475290729 73
489626273231 73
34359740041 73
850403524870 73
94489281343 73
1262720386203 73
1417339208246 73
1640677507906 73
1030792151941 72
1494648621359 72
807453854151 72
249108105389 72
712964572701 72
919123003457 72
584115552781 72
987842480328 72
858993461736 72
901943134826 72
