"first_date,last_date",0-1,0-2,0-3,0-4,1-0,1-2,1-3,1-4,2-0,2-1,2-3,2-4,3-0,3-1,3-2,3-4,4-0,4-1,4-2,4-3
2018-05-01,2018-05-20,0,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0
2018-05-21,2018-06-01,0,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0
